date,M1,M2,M3
2013-01-01,"297,582.20","1,355,381.20","1,375,858.00"
2013-02-01,"294,329.30","1,358,466.80","1,379,389.60"
2013-03-01,"293,719.60","1,373,101.60","1,392,122.90"
2013-04-01,"292,406.80","1,382,444.10","1,399,798.90"
2013-05-01,"295,628.30","1,398,166.30","1,414,632.10"
2013-06-01,"298,805.50","1,400,408.00","1,414,539.90"
2013-07-01,"304,203.00","1,409,696.30","1,423,236.90"
2013-08-01,"299,990.70","1,410,528.00","1,425,783.40"
2013-09-01,"309,595.40","1,416,222.30","1,429,486.90"
2013-10-01,"309,144.20","1,423,582.60","1,439,106.50"
2013-11-01,"311,419.80","1,409,659.10","1,426,601.00"
2013-12-01,"327,596.00","1,436,451.90","1,452,317.10"
2014-01-01,"331,995.50","1,447,905.20","1,465,999.80"
2014-02-01,"325,880.70","1,444,810.70","1,462,400.30"
2014-03-01,"327,064.20","1,459,864.10","1,475,937.00"
2014-04-01,"325,494.90","1,469,619.30","1,486,408.50"
2014-05-01,"324,030.80","1,476,642.70","1,495,426.00"
2014-06-01,"329,259.80","1,479,547.40","1,496,460.50"
2014-07-01,"331,856.80","1,489,302.30","1,506,044.20"
2014-08-01,"322,962.40","1,480,834.20","1,497,171.30"
2014-09-01,"330,415.50","1,492,807.30","1,506,485.40"
2014-10-01,"327,548.60","1,504,906.80","1,519,720.00"
2014-11-01,"330,932.80","1,517,096.00","1,530,728.00"
2014-12-01,"346,415.90","1,544,160.00","1,557,612.30"
2015-01-01,"346,300.40","1,545,765.70","1,557,187.70"
2015-02-01,"351,432.00","1,552,127.20","1,564,038.10"
2015-03-01,"360,340.50","1,583,077.50","1,592,558.70"
2015-04-01,"351,905.50","1,572,159.30","1,583,131.70"
2015-05-01,"352,321.30","1,567,577.20","1,579,862.40"
2015-06-01,"360,586.30","1,574,349.80","1,584,443.20"
2015-07-01,"347,180.90","1,560,913.00","1,570,074.20"
2015-08-01,"351,492.90","1,561,341.60","1,571,522.30"
2015-09-01,"357,983.90","1,581,305.80","1,593,104.20"
2015-10-01,"351,276.10","1,575,491.60","1,585,170.00"
2015-11-01,"352,369.00","1,583,959.80","1,592,321.50"
2015-12-01,"360,502.90","1,595,853.80","1,603,938.00"
2016-01-01,"363,454.30","1,587,779.00","1,597,275.30"
2016-02-01,"366,985.30","1,603,038.20","1,612,464.30"
2016-03-01,"354,187.00","1,604,254.20","1,613,190.00"
2016-04-01,"348,627.80","1,601,667.20","1,611,143.40"
2016-05-01,"356,464.30","1,608,758.30","1,620,291.90"
2016-06-01,"363,910.70","1,611,043.40","1,621,162.50"
2016-07-01,"354,250.90","1,598,473.10","1,607,918.50"
2016-08-01,"354,935.40","1,600,710.70","1,609,689.40"
